NewCase,CumCase,NewDeath,CumDeath,NewRecovered,CumRecovered,ActiveCase,
1,1,0,0,0,0,1,1/20/2020
0,1,0,0,0,0,1,1/21/2020
0,1,0,0,0,0,1,1/22/2020
0,1,0,0,0,0,1,1/23/2020
1,2,0,0,0,0,2,1/24/2020
0,2,0,0,0,0,2,1/25/2020
3,5,0,0,0,0,5,1/26/2020
0,5,0,0,0,0,5,1/27/2020
0,5,0,0,0,0,5,1/28/2020
0,5,0,0,0,0,5,1/29/2020
1,6,0,0,0,0,6,1/30/2020
1,7,0,0,0,0,7,1/31/2020
1,8,0,0,0,0,8,2/1/2020
0,8,0,0,0,0,8,2/2/2020
3,11,0,0,0,0,11,2/3/2020
0,11,0,0,0,0,11,2/4/2020
0,11,0,0,0,0,11,2/5/2020
1,12,0,0,0,0,12,2/6/2020
0,12,0,0,0,0,12,2/7/2020
0,12,0,0,3,3,9,2/8/2020
0,12,0,0,0,3,9,2/9/2020
0,12,0,0,0,3,9,2/10/2020
1,13,0,0,0,3,10,2/11/2020
0,13,0,0,0,3,10,2/12/2020
2,15,0,0,0,3,12,2/13/2020
0,15,0,0,0,3,12,2/14/2020
0,15,0,0,0,3,12,2/15/2020
0,15,0,0,0,3,12,2/16/2020
0,15,0,0,0,3,12,2/17/2020
0,15,0,0,0,3,12,2/18/2020
0,15,0,0,0,3,12,2/19/2020
0,15,0,0,2,5,10,2/20/2020
19,34,0,0,0,5,29,2/21/2020
1,35,0,0,0,5,30,2/22/2020
0,35,0,0,0,5,30,2/23/2020
18,53,0,0,1,6,47,2/24/2020
0,53,0,0,0,6,47,2/25/2020
6,59,0,0,0,6,53,2/26/2020
0,59,0,0,1,7,52,2/27/2020
3,62,0,0,0,7,55,2/28/2020
0,62,0,0,0,7,55,2/29/2020
0,62,0,0,0,7,55,3/1/2020
2,64,0,0,0,7,57,3/2/2020
44,108,2,2,0,7,99,3/3/2020
21,129,3,5,0,7,117,3/4/2020
19,148,5,10,0,7,131,3/5/2020
65,213,1,11,0,7,195,3/6/2020
0,213,0,11,0,7,195,3/7/2020
0,213,0,11,0,7,195,3/8/2020
259,472,8,19,1,8,445,3/9/2020
224,696,6,25,0,8,663,3/10/2020
0,696,0,25,4,12,659,3/11/2020
291,987,4,29,0,12,946,3/12/2020
277,1264,7,36,0,12,1216,3/13/2020
414,1678,5,41,0,12,1625,3/14/2020
36,1714,0,41,5,17,1656,3/15/2020
0,1714,0,41,0,17,1656,3/16/2020
1822,3536,17,58,88,105,3373,3/17/2020
3551,7087,42,100,16,121,6866,3/18/2020
3355,10442,50,150,26,147,10145,3/19/2020
4777,15219,51,201,29,176,14842,3/20/2020
0,15219,0,201,2,178,14840,3/21/2020
0,15219,0,201,0,178,14840,3/22/2020
16354,31573,201,402,170,348,30823,3/23/2020
20341,51914,271,673,13,361,50880,3/24/2020
0,51914,0,673,320,681,50560,3/25/2020
16420,68334,318,991,188,869,66474,3/26/2020
0,68334,0,991,203,1072,66271,3/27/2020
16894,85228,252,1243,1593,2665,81320,3/28/2020
18093,103321,425,1668,2979,5644,96009,3/29/2020
19332,122653,444,2112,1380,7024,113517,3/30/2020
17987,140640,286,2398,1450,8474,129768,3/31/2020
22559,163199,452,2850,527,9001,151348,4/1/2020
24103,187302,996,3846,706,9707,173749,4/2/2020
26298,213600,947,4793,4945,14652,194155,4/3/2020
28103,241703,1061,5854,2796,17448,218401,4/4/2020
32105,273808,1166,7020,2133,19581,247207,4/5/2020
33510,307318,1338,8358,2182,21763,277197,4/6/2020
26493,333811,1201,9559,1796,23559,300693,4/7/2020
29510,363321,1286,10845,1851,25410,327066,4/8/2020
31709,395030,1895,12740,3380,28790,353500,4/9/2020
30859,425889,1925,14665,2480,31270,379954,4/10/2020
35386,461275,1931,16596,1718,32988,411691,4/11/2020
31606,492881,1920,18516,10494,43482,430883,4/12/2020
31633,524514,1928,20444,4281,47763,456307,4/13/2020
29308,553822,1528,21972,4333,52096,479754,4/14/2020
24446,578268,1504,23476,2607,54703,500089,4/15/2020
25802,604070,2395,25871,3842,58545,519654,4/16/2020
28711,632781,6409,32280,6295,64840,535661,4/17/2020
32549,665330,2018,34298,5497,70337,560695,4/18/2020
30023,695353,2438,36736,1992,72329,586288,4/19/2020
28252,723605,1776,38512,2875,75204,609889,4/20/2020
27668,751273,1801,40313,2162,77366,633594,4/21/2020
25634,776907,2154,42467,2837,80203,654237,4/22/2020
24019,800926,2575,45042,18876,99079,656805,4/23/2020
29127,830053,2390,47432,1293,100372,682249,4/24/2020
30719,860772,1742,49174,6616,106988,704610,4/25/2020
