NewCases,CumCases,NewDeaths,CumDeaths,NewRecovered,CumRecovered,ActiveCases,NewTests,CumTests,Date
1,1,0,0,0,0,1,0,0,20-Jan
0,1,0,0,0,0,1,0,0,21-Jan
0,1,0,0,0,0,1,0,0,22-Jan
0,1,0,0,0,0,1,0,0,23-Jan
1,2,0,0,0,0,2,0,0,24-Jan
0,2,0,0,0,0,2,0,0,25-Jan
3,5,0,0,0,0,5,0,0,26-Jan
0,5,0,0,0,0,5,0,0,27-Jan
0,5,0,0,0,0,5,0,0,28-Jan
0,5,0,0,0,0,5,0,0,29-Jan
1,6,0,0,0,0,6,0,0,30-Jan
1,7,0,0,0,0,7,0,0,31-Jan
1,8,0,0,0,0,8,0,0,1-Feb
0,8,0,0,0,0,8,0,0,2-Feb
3,11,0,0,0,0,11,0,0,3-Feb
0,11,0,0,0,0,11,0,0,4-Feb
0,11,0,0,0,0,11,0,0,5-Feb
1,12,0,0,0,0,12,0,0,6-Feb
0,12,0,0,0,0,12,0,0,7-Feb
0,12,0,0,3,3,9,0,0,8-Feb
0,12,0,0,0,3,9,0,0,9-Feb
0,12,0,0,0,3,9,0,0,10-Feb
1,13,0,0,0,3,10,0,0,11-Feb
0,13,0,0,0,3,10,0,0,12-Feb
2,15,0,0,0,3,12,0,0,13-Feb
0,15,0,0,0,3,12,0,0,14-Feb
0,15,0,0,0,3,12,0,0,15-Feb
0,15,0,0,0,3,12,0,0,16-Feb
0,15,0,0,0,3,12,0,0,17-Feb
0,15,0,0,0,3,12,0,0,18-Feb
0,15,0,0,0,3,12,0,0,19-Feb
0,15,0,0,2,5,10,0,0,20-Feb
19,34,0,0,0,5,29,0,0,21-Feb
1,35,0,0,0,5,30,0,0,22-Feb
0,35,0,0,0,5,30,0,0,23-Feb
18,53,0,0,1,6,47,0,0,24-Feb
0,53,0,0,0,6,47,0,0,25-Feb
6,59,0,0,0,6,53,0,0,26-Feb
0,59,0,0,1,7,52,0,0,27-Feb
3,62,0,0,0,7,55,0,0,28-Feb
0,62,0,0,0,7,55,0,0,29-Feb
0,62,0,0,0,7,55,0,0,1-Mar
2,64,0,0,0,7,57,0,0,2-Mar
44,108,2,2,0,7,99,0,0,3-Mar
21,129,3,5,0,7,117,0,0,4-Mar
19,148,5,10,0,7,131,0,0,5-Mar
65,213,1,11,0,7,195,0,0,6-Mar
0,213,0,11,0,7,195,0,4138,7-Mar
0,213,0,11,0,7,195,874,5012,8-Mar
259,472,8,19,1,8,445,1773,6785,9-Mar
224,696,6,25,0,8,663,2490,9275,10-Mar
0,696,0,25,4,12,659,3818,13093,11-Mar
291,987,4,29,0,12,946,5310,18403,12-Mar
277,1264,7,36,0,12,1216,9171,27574,13-Mar
414,1678,5,41,0,12,1625,4610,32184,14-Mar
36,1714,0,41,5,17,1656,7604,39788,15-Mar
0,1714,0,41,0,17,1656,17924,57712,16-Mar
1822,3536,17,58,88,105,3373,17320,75032,17-Mar
3551,7087,42,100,16,121,6866,25064,100096,18-Mar
3355,10442,50,150,26,147,10145,28081,128177,19-Mar
4777,15219,51,201,29,176,14842,36662,164839,20-Mar
0,15219,0,201,2,178,14840,45333,210172,21-Mar
0,15219,0,201,0,178,14840,45473,255645,22-Mar
16354,31573,201,402,170,348,30823,58148,313793,23-Mar
20341,51914,271,673,13,361,50880,69137,382930,24-Mar
0,51914,0,673,320,681,50560,84394,467324,25-Mar
16420,68334,318,991,188,869,66474,101815,569139,26-Mar
0,68334,0,991,203,1072,66271,102656,671795,27-Mar
16894,85228,252,1243,1593,2665,81320,106870,778665,28-Mar
18093,103321,425,1668,2979,5644,96009,87612,866277,29-Mar
19332,122653,444,2112,1380,7024,113517,118461,984738,30-Mar
17987,140640,286,2398,1450,8474,129768,112330,1097068,31-Mar
22559,163199,452,2850,527,9001,151348,108521,1205589,1-Apr
24103,187302,996,3846,706,9707,173749,118851,1324440,2-Apr
