Date,NewCase,CumCase,NewDeath,CumDeath
20-Jan,1,1,0,0
21-Jan,0,1,0,0
22-Jan,0,1,0,0
23-Jan,0,1,0,0
24-Jan,1,2,0,0
25-Jan,0,2,0,0
26-Jan,3,5,0,0
27-Jan,0,5,0,0
28-Jan,0,5,0,0
29-Jan,0,5,0,0
30-Jan,1,6,0,0
31-Jan,1,7,0,0
1-Feb,1,8,0,0
2-Feb,0,8,0,0
3-Feb,3,11,0,0
4-Feb,0,11,0,0
5-Feb,0,11,0,0
6-Feb,1,12,0,0
7-Feb,0,12,0,0
8-Feb,0,12,0,0
9-Feb,0,12,0,0
10-Feb,0,12,0,0
11-Feb,1,13,0,0
12-Feb,0,13,0,0
13-Feb,2,15,0,0
14-Feb,0,15,0,0
15-Feb,0,15,0,0
16-Feb,0,15,0,0
17-Feb,0,15,0,0
18-Feb,0,15,0,0
19-Feb,0,15,0,0
20-Feb,0,15,0,0
21-Feb,19,34,0,0
22-Feb,1,35,0,0
23-Feb,0,35,0,0
24-Feb,18,53,0,0
25-Feb,0,53,0,0
26-Feb,6,59,0,0
27-Feb,0,59,0,0
28-Feb,3,62,0,0
29-Feb,0,62,0,0
1-Mar,0,62,0,0
2-Mar,2,64,0,0
3-Mar,44,108,2,2
4-Mar,21,129,3,5
5-Mar,19,148,5,10
6-Mar,65,213,1,11
7-Mar,0,213,0,11
8-Mar,0,213,0,11
9-Mar,259,472,8,19
10-Mar,224,696,6,25
11-Mar,0,696,0,25
12-Mar,291,987,4,29
13-Mar,277,1264,7,36
14-Mar,414,1678,5,41
15-Mar,36,1714,0,41
16-Mar,0,1714,0,41
17-Mar,1822,3536,17,58
18-Mar,3551,7087,42,100
19-Mar,3355,10442,50,150
20-Mar,4777,15219,51,201
21-Mar,0,15219,0,201
22-Mar,0,15219,0,201
23-Mar,16354,31573,201,402
24-Mar,20341,51914,271,673
25-Mar,0,51914,0,673
26-Mar,16420,68334,318,991
27-Mar,0,68334,0,991
28-Mar,16894,85228,252,1243
29-Mar,18093,103321,425,1668
30-Mar,19332,122653,444,2112
31-Mar,17987,140640,286,2398
1-Apr,22559,163199,452,2850
2-Apr,24103,187302,996,3846
3-Apr,26298,213600,947,4793
4-Apr,28103,241703,1061,5854
5-Apr,32105,273808,1166,7020
6-Apr,33510,307318,1338,8358
7-Apr,26493,333811,1201,9559
8-Apr,29510,363321,1286,10845
9-Apr,31709,395030,1895,12740
10-Apr,30859,425889,1925,14665
11-Apr,35386,461275,1931,16596
12-Apr,31606,492881,1920,18516
13-Apr,31633,524514,1928,20444
14-Apr,29308,553822,1528,21972
15-Apr,24446,578268,1504,23476
16-Apr,25802,604070,2395,25871
17-Apr,28711,632781,6409,32280
18-Apr,32549,665330,2018,34298
19-Apr,30023,695353,2438,36736
20-Apr,28252,723605,1776,38512
21-Apr,27668,751273,1801,40313
22-Apr,25634,776907,2154,42467
23-Apr,24019,800926,2575,45042
24-Apr,29127,830053,2390,47432
25-Apr,30719,860772,1742,49174
26-Apr,38509,899281,2151,51325
27-Apr,32417,931698,1964,53289
28-Apr,29218,960916,1109,54398
29-Apr,22541,983457,1322,55720
30-Apr,20517,1003974,2010,57730
1-May,31379,1035353,2902,60632
2-May,31774,1067127,2005,62637
3-May,26753,1093880,5000,67637
4-May,31839,1125719,156,67793
5-May,29266,1154985,-514,67279
6-May,16200,1171185,802,68081
7-May,22267,1193452,2475,70556
8-May,22119,1215571,1968,72524
9-May,30204,1245775,2840,75364
10-May,25870,1271645,1552,76916
11-May,26642,1298287,1736,78652
